Time;Periode;Comments
2020-06-02T01:27:25Z;September;Terawan ini minta data sama Anies. Pakar pandemi kenapa ngga dimintain data?
2020-04-29T12:44:05Z;September;Kenapa  bantuan  dari  pemerintah  masih  d pilih2  kenapa  juga  bantuan  nya  turun  dari  RT   dulu  kenapa  tidak  langsung  warganya  yang  d  beri  bntuan  yang  kena  dampak  virus  ini  semua  g  ada  pandang  bulu  kenapa  bantuan  ny  masih  d pilih2   sama   RT  ny  tolong  dong  mata  nazwa   yang  dari  tanggerang   mauk  tidak  adil  dalam  membagi  bantuan  untuk  desa
2020-04-27T17:37:14Z;September;Mentri2 jokowi sekarang pandai2 sekali
2020-04-22T18:00:33Z;September;Pak Jokowi, tolong segera lockdown pak. Klo mau sakit biar sakit sekalian, tp stlh itu beres. Kami warga saat ini ibarat sedang sakit keras dan butuh dioperasi. Meski operasi itu sakit tp menyembuhkan. Drpd hanya sekedar dikasih obat penghilang rasa sakit tp penyakitnya ga sembuh2. Skrg sdh hampir 2 bulan kami sesama warga saling membantu memberi makan. Tp klo bgini trus2an, akhirnya uang yg kami korbankan untuk berbagi dgn warga yg tidak mampu pun akan habis tetapi mslh virus blum jg beres2. Tolong pak Jokowi. Jgn biarkan kami orang2 ekonomi kelas menengah sampai tinggal rupiah terakhir baru kalian lakukan lockdown. Klo bgini akhirnya kaum ekonomi bawah dan menengah sama2 mati kelaparan karna kalah napas. Kami sangat sedih  pak, setiap malam berdoa air mata rasanya sulit ditahan merasakan hidup di kondisi seperti saat ini.
2020-04-21T17:32:37Z;September;kerja nya bikin panik warga 62 aja ni bu nazwa ??????bantu dong pemerintah dengan doa dan berita yang baik agar Indonesia terbebas dari corona ,bukan terus terusan nyalahin pemerintah ????????
2020-04-21T10:14:28Z;September;Corona diwuhan tp disini gk mau antisipasi. Menganggap enteng dan takabur... Akses internasional malah gk ditutup... Ingat suspek pertama dari mana...
2020-04-21T06:27:59Z;September;Sudah tau di negara komunis Cina terjadi endemik penyakit Corona virus, ada sebagian orang malah meremehkan dan mengundang wisatawan dari negara sumber penyakit. Jadi kalau sekarang di RI terjadi pandenik Covid 19 yang dampaknya sangat merugikan masyarakat salah siapa, sudah begitu  Bapak Anis Baswedan berjuang sebaik baiknya agar penyakit tidak menjadi pandemik malah di buli habis habisan.
2020-04-20T08:11:20Z;September;Seorang ilmuwan/peneliti 99% tidak akan bisa memimpin publik, contoh konkrit BJ Habibi, Jadi kalau di jadikan pejabat publik harus dipikir ulang karena bukan habitatnya harusnya dikembalikan ke habitatnya
2020-04-19T17:24:21Z;September;Kalau ingin nanganin cepat ya lockdown. Pemerintah masih takut rugi gk ada kemasukan.
2020-04-18T04:38:33Z;September;Makanya jangan pilih presiden yang nggak punya otak..
2020-04-17T21:31:38Z;September;CORONA...COMUNITAS PECINTA RONDO MEMPESONA...HOAX TU CORONA,BIKIN SUSAH RAKYAT AJA LHOO....
2020-04-17T15:03:58Z;September;Kurangnya Kesadaran Warga di Pademi Corona lebih baik Jam Operasi KRL dan Kendaraan Bermotor (Mobil dan Motor) Kecuali angkutan Mobil Box Truck,  dibatasi mulai pagi Jam 6.00-09 sore Jam 15.00-18.00 diluar jam tersebut semua kendaraan bermotor dilarang Beroperasi Di seluruh JABODETABEK
2020-04-17T13:14:22Z;September;Seperti nya  pak Anis sudah mulai bijak,  mantap. Tpi kok mata najwa jadi mulai aneh ya,  saya tdi nya sangat respek sama mata najwa kok sekarang jadi nggak. Bu yg mempersulit siapa?
2020-04-17T04:17:01Z;September;bln ini mumpung ada program pembebasan napi.. maka silahkan buat kalian yg geram dgn pemerintah pusat lontarkan aspirasimu wkwkwk.. semoga kalian puas...????
2020-04-16T15:07:52Z;September;salut sama kedewasaan berpikirnya pak anis open minded  dan gak nyala-nyalahin.
2020-04-16T09:57:23Z;September;Nazwa mancing2 pengen membenturkan antarpemimpin... cuma gagal. lama2 narisi pengen jadi provokator kynya
2020-04-16T05:51:41Z;September;Gua kira PSBB itu (ide) dari pemerintah pusat, ternyata dari DKI ya...? Kya BODETABEK yang malahan ngikutin Jakarta bkn atas pemerintah pust...? Perasaan gw gtu ya wkwkwk
2020-04-16T04:15:21Z;September;Bonus pemerintahan sekarang adalah para pemimpin didaerah-daerahnya punya kompetensi sebagai leader, pemerintah pusat hanya sebagai formalitas sebagai birokrasi saja.
2020-04-16T01:50:01Z;September;Anies Baswedan mantan anggota Palang Merah Remaja kemudian jadi  gubernur yg tugasnya melayani warga, jadi ud latihan bermasyarakat. DAAAN  joko wi petugas partai yg bekerja sesuai perintah kalo nggak ada perintah mana ada respon ! ? Tunggu perintah DONG
2020-04-15T19:10:24Z;September;sekali kali pengen liat pak presiden muncul di acara acara seperti ini, memberikan statement dan penjelasan tentang semua kebijakan yang diambil dan menjawab pertanyaan pertanyaan kritis yang diajukan secara langsung, kurang puas rasanya kalo cuma denger dari jubir jubir...
2020-04-15T17:42:15Z;September;Kang emil joss cara memberi staintmen nya beda jauh ama gub dki yg Mbulet
2020-04-15T17:29:27Z;September;habis gelap terbitlah terang........... next warga indonesia akan bijak memilih mana yang bijak dan mana yang Tidak..... insyaaallah akan datang pemimpin yang benar2 bisa memimpin dengan adil dan bijak untuk rakyatnya. semoga dengan kejadian ini...... semua rakyat indonesia akan lebih cerdas lagi memilih pemimpin untuk masa depan negara kita. amin....
2020-04-15T14:54:37Z;September;Welcome to Indonesia...Statment para Gabenor lagi mudah aku fahami dr statment Presiden Menteri Kesihatan...
2020-04-15T13:58:01Z;September;Pemimpin Dunia , yang tidak peduli sama Rakyat nya di bongkar oleh Corona
2020-04-15T11:45:58Z;September;apakahh indonesia ini akan musnah...????
2020-04-15T11:14:45Z;September;Coba atuh ,presidennya ikutan diskusi ,,,mba nana,, pngen denger tanggapan pak presiden di sini ,,
2020-04-15T10:02:07Z;September;Pemerintah harus perhatikan tim medis melengkapi APD, fasilitas tempat tinggal dan makanan sehat.
2020-04-15T09:53:48Z;September;Semua orang berharap pirus ini tdk menyebar keseluruh indonesia dan cepat berahir namun klau obyek2 pital tdk ditangani dan diawasi dgn baik oleh pusat mka daerah2 akan kewalahan dgn kewenangan
2020-04-15T08:48:06Z;September;Bukan berbelit belit,,,tapi biar duit apbd daerah keluar,,,korbannya rakyat kecil lagi,,,
2020-04-15T08:15:56Z;September;kemenkes hrsnya tau diri mengundurkan diri ckckckckckck gak pernah mau di tanya2in ttg pandemik wadadidaw sdngkan dy yg paling lambat sidak ke rs2 liat kesiapan dr januari, ngapain ajaaaaaaaa
2020-04-15T05:38:41Z;September;Pak president pak wakil president ,pak Menkes pada kemana yah...
2020-04-15T04:08:17Z;September;Pak Anis biar saya wakili kalau emang bapak gak mau bilang bahwa pemerintah pusat nyatanya tidak peduli dengan rakyatnya karna selalu memandang remeh ketika ada masalah yang menyangkut pada masyarakat.
2020-04-15T03:05:37Z;September;P anies sekarang darurat kesehatan rakyat
2020-04-15T03:03:25Z;September;P anies selamatkan rakyatmu tdk usah menunggu kebijakan pejabat lain yg tdk bertanggung jwb
2020-04-15T02:35:49Z;September;Indonesia butuh seribu jurnalis sprt najwa shihab....setelah menkumham saatnya menko maritim di koreksi najwa shihab....bravo najwa shihab
2020-04-15T00:58:06Z;September;Kesimpulan nya ,lelet yang bagian ngurus makro kesehatan
2020-04-15T00:53:24Z;September;LELANG JABATAN PASTI UNIK...
2020-04-15T00:05:51Z;September;Jadi pejabat kan modalnya besar jadi urusan bagi bagi bantuan ya berbelit.... Waktu pejabat cari suara pon rakyat berbelit... Introspeksi diri
2020-04-14T23:59:16Z;September;Pak Anis lebih bijak ...nanggapin ..pertanyaan mbak Nana..seorang pemimpin yg cerdas ga mau nyalahin orang lain...sebenernya masalah Corona ..ini murni kesalahan pemerintah..yg lamban antisipasi ..terlalu sombong ..dari awal
2020-04-14T19:57:28Z;September;Pak Terawan mana ya?! Semenjak pandemic cov19 pecah d indonesia beliau, tak nampak lagi, Mbak Najwa Requezt dong undang Pak Terawan di Mata Najwa
2020-04-14T19:35:46Z;September;Menkes kemana yaaa??? gak pernah muncul memimpin penanganan Covid19!!!
2020-04-14T18:18:33Z;September;Pemimpin sesungguhnya... Atau Superhero itu muncul saat kondisi genting pelik Pak Anies bergerak cepat, depan camera or operasi senyap pun sangat kita rasakan koq... Pak Anies...Anda superhero...
2020-04-14T16:43:32Z;September;Isu dunia yang ditangani cara lokal..
2020-04-14T15:46:15Z;September;Macam Mana yaa...kalau laa CORONA ITU bisa di tangkap sudah lama di ringkus ..??..tp Kan ngak mampak ,??
2020-04-14T14:56:25Z;September;Mendingan ini menteri kembali jadi dokternya calon orang kehilangan akal sehat aja....
2020-04-14T14:14:42Z;September;yg ditanya pa anies terus nanti difitnah cari panggung..mbo ya yg lainnya  yg terbelit dan terlilit elektabilitas
2020-04-14T13:57:32Z;September;Mata najwa telat..pa gubernur dulu lagi sibuk nana malah diem..udah parah baru ikut heboh..seandainya dulu pd nurut pa gubernur lain cerita.. Begitu lo mba nana dan yg lainnya
2020-04-14T13:15:48Z;September;SEMUA negara ( asia, eropa,amerika) tdk ada yg mengerti cara menangulangi virus ini krn virus baru yg belum dimengerti cara berkembangnya. jangan terlalu menghakimi pemerintah. BERPIKIRLAH apa yg kamu buat untuk  NEGARA, LINKUNGAN DAN BANGSA INI. Pemerinta juga sdh bekerja maksimal bukan tdk perduli sm rakyatnya.
2020-04-14T12:50:58Z;September;KECEPATAN KURANG KETEPATAN??????
2020-04-14T11:06:36Z;September;rapat koordinasinya aja itu si menkes gak ada ...
2020-04-14T10:51:59Z;September;pemerintah pusat lepas tangan... wilayah bertindakan sendirian...
2020-04-14T08:06:22Z;September;jadi runyem gara2 si corona sakti jg y corona bisa bikin dunya jadi gemparr ????????
2020-04-14T06:44:26Z;September;Kalau masih bisa dibikin sulit ngapain dipermudah , urusan Rakyat saja masih disulit2 gimana caranya golek bathi !!
2020-04-14T05:23:28Z;September;Transportasi di Jakarta tetap membludak utama nya krl...kenapa tuan Gubenur tidak dengan tegas memerintahkan pengusaha untuk menghentikan kegiatan..apa nunggu banyak korban dulu ?
2020-04-14T05:19:58Z;September;Keputusan nya mencla mencle ,, jelas yg mana pak...lising dan bank tidak mengikuti kebijakan anda tuan presiden...gak mau melaksanakan penundaan pembayaran cicilan...
2020-04-14T04:10:10Z;September;HIMBAUAN DARI GUGUS TUGAS TIDAK DILAKSANAKAN DENGAN BAIK OLEH PELAKSANA LAPANGAN DI SEMUA LINI LAYANAN PEMERINTAH, GIMANA PENGAWASANNYA?
2020-04-14T03:15:51Z;September;lebih tanggap pemda dibanding pempus
2020-04-14T02:11:02Z;September;Semangat untuk bapak/ibu pemerintah daerah. Kalian menunjukkan kinerja yg baik pada situasi genting seperti ini.
2020-04-14T00:48:14Z;September;Emng gak jelas... disini kelihatan kasitas pemerintah sebenarnya bayangkan ini perang senjata ?? Sya gak yakin rakyatnya bakal merasa aman..
2020-04-14T00:36:55Z;September;Presiden itu ga cukup bermodal baik hati Presiden harus lah baik hati,  jujur,  PINTAR,  BERWAWASAN,  CEKATAN,  mampu berpikir sendiri, Saya liat presiden yg sekarang bahkan ga mampu untuk berdiskusi 1 lawan 1 , jika berpidato harus pake kertas,  kalau berkomunikasi dengan luar negri harus di dampingi minimal 2 orang.
2020-04-13T23:24:01Z;September;Dulu di mata najua ini banyak penyokong si anu kok sekarang takada, baru tahu pemimpin itu kalau cerdas cepat tanggap ,dan tidak lelet
2020-04-13T22:04:01Z;September;Kalo mau psbb... seharusnya serentak donk.
2020-04-13T19:43:10Z;September;Skrg saya mau tanya,klo seandai nya mba najwa Jd org BERPENGARUH di Indonesia apa yg mau anda lakukan mba..??????
2020-04-13T18:41:23Z;September;Kasian mba nana beberapa episode kebelakang dikibulin sama menteri kesehatan..corona hanya hoaks..itu lah kesombongan yg hakiki
2020-04-13T18:40:13Z;September;Luhut tu orang tdk py hati , pantas untuk di pecat , dia lebih mentingkan ekonomi drpd nyawa rakyat. Po g takut tu yg nmy luhut kena hukuman dr allah !!! Ingat pak luhut wabah ne ujian dr allah , bs saja menyerang anda ....
2020-04-13T18:10:59Z;September;Goblog nya msh d bela, ngerihnya buzer buzur pd gentayangan, kritik  npa wouy salah ya salah benar y benar, tuh keliatan msh pd pinter trio gubernur dki jabar jateng tuh transfaran ke masyarakat mau gaet para ahli dan ilmuan
2020-04-13T18:08:42Z;September;+62 kalau ada uang kerja cepat.. Cepat di garong Cepat di korupsi Cepat maling2 pemerintah menikmati..
2020-04-13T17:40:22Z;September;Ues kl pk jokowi dan jajarany bebelit2 dan g sanggup ngurus corona , mending mundur ganti yh lebih pekak san cekatan untuk menyelamatkan rakyat indonesia ,
2020-04-13T17:27:57Z;September;Wah ini acaranya terlalu memojokkan pemerintah pusat yang bergerak amat sangat cepat, secepat kilat, Contohnya mengeluarkakan bejibun himbauan yg sangat <del>berfaedah</del><br><b><i>Cari aman aja daripada diciduk</i></b>
2020-04-13T17:08:38Z;September;Rakyat kita sudah cerdas ..bisa menilai mana yg bisa kerja mana yg kerja ny hanya di depan kamera..
2020-04-13T17:02:45Z;September;Awal  kemiskinan sudah mulai  sampay kpn musibah ini y Allh
2020-04-13T17:01:03Z;September;Ngomong lancar karena gajih gede coba kalo jadi kuli mau ngomong apa
2020-04-13T16:27:44Z;September;pemimpin pusatnya gak becus dan mengaggap REMEH soal COVID19,
2020-04-13T16:12:50Z;September;Pak presiden kami ini manusia. Tolong jangan bunuh kami perlahan.. tolong lengkapi alat penunjang kehidupan spt ventilator di rumah sakit dan puskesmas seluruh indonesia...
2020-04-13T16:01:40Z;September;Di Jawa bnyk yg tidak dpat bntuan begitupun yg luar Jawa. .. utang 70 triliun cuma buat senang para koruptor sja
2020-04-13T14:53:09Z;September;Klw lockdwon utang negara semakin besar ... Sekarang saatnya Indonesia bersatu saling bantu ,saling membagi Rezki ...karna musibah ini TDK di terima hanya satu golongan tapi semua golongan merasakan.. termasuk pak presiden dan semua anggota nya ..karna untuk menekan hutang Indonesia TDK melakukan lockdwon
2020-04-13T12:10:19Z;September;LUCUNYA NEGRIKU.....ORANG CARI MAKAN BUAT HIDUP DG HALAL karena UU PSBB bisa di pidanakan.... NARAPIDANA yg cari uang untuk foya foya di bebaskan.....????????????
2020-04-13T12:01:09Z;September;Kalau dulu ada staement corona tidak masuk ke indonesua karena birokrasinya berbelit - belit<br><br>Kalau sekarang corona susah keluar dari indonesia karena birokrasinya berbelit - belit
